ImageName,Animal,Canine,Dog,Mammal,Pet,Collie,Grassland,Nature,Outdoors,Yard,Tree,Oak,Vegetation,Husky,Boxer,Bulldog,Car,Transportation,Vehicle,Grass,Puppy,Hound,Lawn,Appenzeller,Shelter,Cocker Spaniel,Papillon,Fence,Wood,Cushion,Home Décor,Headrest,Chair,Pointer,Great Dane,Furniture,Accessories,Couch,Collar,Snout,Bracelet,White Dog,Terrier,Balloon,Poodle,Sphere,Soccer Ball,Golden Retriever,Eskimo Dog,Camera,Living Room,Affenpinscher,Berry,Produce,Raspberry,Brush,Tool,Glove,Lawn Mower,Strap,Leash,Bear,Wildlife,Wolf,Coyote,Rock,Livestock,Sheep,Wool,Afghan Hound,Newfoundland,Mouth,Door,Interior Design,Hardwood,Floor,Flooring,Indoors,Pug,Airedale,Beagle,Fox,Kit Fox,Red Wolf
Appenzeller,99.15541077,99.15541077,99.15541077,99.15541077,99.15541077,91.68170166,82.223526,82.223526,82.223526,71.62809753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLE_Appenzeller1,99.99275208,99.99275208,99.99275208,99.99275208,99.99275208,,,,,,,,,,,,,,,99.99897766,99.99275208,98.74695587,94.80644226,64.41951752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLE_Appenzeller2,99.96725464,99.96725464,99.96725464,99.96725464,99.96725464,,,,99.40872192,,99.60327911,,,,,,,,,99.9986496,99.96725464,,,,99.40872192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aussie,97.92163086,97.92163086,97.92163086,97.92163086,97.92163086,66.61713409,,,,,99.93704987,81.24711609,67.84965515,65.10238647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLE_Aussie1,99.79515839,99.79515839,99.79515839,99.79515839,99.79515839,56.93899536,,,,,89.53015137,,,,,,,,,,99.79515839,,,,,64.24274445,64.24274445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLE_Aussie2,98.5587616,98.5587616,98.5587616,98.5587616,98.5587616,80.78580475,,,,,74.23918915,,,,,,,,,,87.72644043,,,,,57.82704163,57.33286285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullMastiff,99.99910736,99.99910736,99.99910736,99.99910736,99.99910736,,,,,,,,,,99.99910736,99.99910736,81.88513947,81.88513947,81.88513947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLE_BullMastiff1,98.99423981,98.99423981,98.99423981,98.99423981,98.99423981,,,,,,,,,,95.35855103,95.35855103,62.7198143,,62.7198143,,57.09380341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLE_BullMastiff2,,97.30068207,97.30068207,,97.30068207,,,,,,,,,,91.42658234,91.42658234,76.15423584,,,,,,,,,,,,,100,100,92.74358368,67.33206177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black_white,99.4281311,99.4281311,98.56565094,99.4281311,98.74445343,,,,,,,,,,,,,,,,56.27552414,,,,,,,,,,,,,93.13724518,80.58987427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
